UserWarning: Using SDL2 binaries from pysdl2-dll 2.32.0
[agent] Loaded ROM: /Users/bdougie/code/pcc-labs/autotune/rom/Pokemon - Red Version (USA, Europe) (SGB Enhanced).gb
[agent] Strategy: medium
[agent] Evolve params: {"stuck_threshold": 4, "door_cooldown": 10, "waypoint_skip_distance": 3, "axis_preference_map_0": "y", "bt_max_snapshots": 8, "bt_restore_threshold": 19, "bt_max_attempts": 3, "bt_snapshot_interval": 34, "hp_run_threshold": 0.2, "hp_heal_threshold": 0.15, "unknown_move_score": 10.0, "status_move_score": 0.0}
[agent] Running headless — no display
[17:44:04] Agent starting.
[17:44:04] Loaded save state from /Users/bdougie/code/pcc-labs/autotune/states/route1.state. Skipping intro.
[17:44:04] QUEST | map=12 pos=(10,34) facing=up parcel_quest phase=TO_MART map=12 parcel=False pokedex=False target=pilot-north
[17:44:04] OVERWORLD | Map: 12 | Pos: (10, 34) | Badges: 0 | Party: 1 | Action: up | Stuck: 0 | WP: 0→(10,28)
[17:44:04] BATTLE | Lv4 Pidgey (normal/flying) | Player HP: 6/22 | Action: fight
[17:44:04] BATTLE | Lv4 Pidgey (normal/flying) | Player HP: 22/22 | Action: fight
[17:44:04] BATTLE | Lv4 Pidgey (normal/flying) | Player HP: 19/22 | Action: fight
[17:44:04] BATTLE | Lv4 Pidgey (normal/flying) | Player HP: 14/22 | Action: fight
[17:44:04] BATTLE | Lv4 Pidgey (normal/flying) | Player HP: 11/22 | Action: fight
[17:44:04] BATTLE | Lv4 Pidgey (normal/flying) | Player HP: 8/22 | Action: fight
[17:44:04] BATTLE | Lv4 Pidgey (normal/flying) | Player HP: 5/22 | Action: fight
[17:44:04] Battle ended. Won: True. Total wins: 1
[17:44:04] STUCK | Map: 12 | Pos: (8, 20) | Last move: left | Streak: 2
[17:44:04] STUCK | Map: 12 | Pos: (10, 20) | Last move: right | Streak: 5
[17:44:04] STUCK | Map: 12 | Pos: (8, 20) | Last move: left | Streak: 10
[17:44:04] STUCK | Map: 12 | Pos: (8, 20) | Last move: left | Streak: 20
[17:44:04] OVERWORLD | Map: 12 | Pos: (10, 20) | Badges: 0 | Party: 1 | Action: left | Stuck: 27 | WP: 0→(10,28)
[17:44:04] OVERWORLD | Map: 12 | Pos: (10, 20) | Badges: 0 | Party: 1 | Action: left | Stuck: 77 | WP: 0→(10,28)
[17:44:04] OVERWORLD | Map: 12 | Pos: (10, 20) | Badges: 0 | Party: 1 | Action: left | Stuck: 127 | WP: 0→(10,28)
[17:44:05] OVERWORLD | Map: 12 | Pos: (10, 20) | Badges: 0 | Party: 1 | Action: left | Stuck: 177 | WP: 0→(10,28)
[17:44:05] OVERWORLD | Map: 12 | Pos: (10, 20) | Badges: 0 | Party: 1 | Action: left | Stuck: 227 | WP: 0→(10,28)
[17:44:05] OVERWORLD | Map: 12 | Pos: (10, 20) | Badges: 0 | Party: 1 | Action: left | Stuck: 277 | WP: 0→(10,28)
[17:44:05] OVERWORLD | Map: 12 | Pos: (10, 20) | Badges: 0 | Party: 1 | Action: left | Stuck: 327 | WP: 0→(10,28)
[17:44:05] OVERWORLD | Map: 12 | Pos: (10, 20) | Badges: 0 | Party: 1 | Action: left | Stuck: 377 | WP: 0→(10,28)
[17:44:05] OVERWORLD | Map: 12 | Pos: (10, 20) | Badges: 0 | Party: 1 | Action: left | Stuck: 427 | WP: 0→(10,28)
[17:44:06] OVERWORLD | Map: 12 | Pos: (10, 20) | Badges: 0 | Party: 1 | Action: left | Stuck: 477 | WP: 0→(10,28)
[17:44:06] OVERWORLD | Map: 12 | Pos: (10, 20) | Badges: 0 | Party: 1 | Action: left | Stuck: 527 | WP: 0→(10,28)
[17:44:06] OVERWORLD | Map: 12 | Pos: (10, 20) | Badges: 0 | Party: 1 | Action: left | Stuck: 577 | WP: 0→(10,28)
[17:44:06] OVERWORLD | Map: 12 | Pos: (10, 20) | Badges: 0 | Party: 1 | Action: left | Stuck: 627 | WP: 0→(10,28)
[17:44:06] OVERWORLD | Map: 12 | Pos: (10, 20) | Badges: 0 | Party: 1 | Action: left | Stuck: 677 | WP: 0→(10,28)
[17:44:06] OVERWORLD | Map: 12 | Pos: (10, 20) | Badges: 0 | Party: 1 | Action: left | Stuck: 727 | WP: 0→(10,28)
[17:44:07] OVERWORLD | Map: 12 | Pos: (10, 20) | Badges: 0 | Party: 1 | Action: left | Stuck: 777 | WP: 0→(10,28)
[17:44:07] OVERWORLD | Map: 12 | Pos: (10, 20) | Badges: 0 | Party: 1 | Action: left | Stuck: 827 | WP: 0→(10,28)
[17:44:07] OVERWORLD | Map: 12 | Pos: (10, 20) | Badges: 0 | Party: 1 | Action: left | Stuck: 877 | WP: 0→(10,28)
[17:44:07] OVERWORLD | Map: 12 | Pos: (10, 20) | Badges: 0 | Party: 1 | Action: left | Stuck: 927 | WP: 0→(10,28)
[17:44:07] OVERWORLD | Map: 12 | Pos: (10, 20) | Badges: 0 | Party: 1 | Action: left | Stuck: 977 | WP: 0→(10,28)
[17:44:07] OVERWORLD | Map: 12 | Pos: (10, 20) | Badges: 0 | Party: 1 | Action: left | Stuck: 1027 | WP: 0→(10,28)
